modules,inputs,outputs,registers,always_blocks,case_statements,adders,subtractors,and_operations,or_operations,estimated_area,estimated_power,estimated_performance
5,13,13,31,7,1,2,0,3,13,389,71.5,7
2,12,15,3,4,0,7,2,14,10,301,48.0,46
4,28,15,10,8,3,4,3,8,15,405,62.0,22
2,18,15,4,5,1,4,5,10,2,294,46.5,39
2,10,8,24,3,5,3,1,13,13,346,66.0,17
3,30,14,3,4,3,6,0,12,15,330,52.0,52
1,23,10,24,7,4,8,3,15,7,466,85.5,1
3,28,16,1,7,2,6,2,14,4,337,48.5,41
5,2,13,1,2,5,6,2,14,5,274,34.5,50
1,17,13,20,4,3,5,5,12,8,394,75.0,2
4,17,3,30,1,5,8,0,11,7,408,80.0,1
1,3,1,15,4,0,2,3,4,15,242,44.0,38
1,14,15,16,6,1,1,2,9,3,272,50.5,36
5,2,10,24,7,5,3,1,7,3,348,55.0,5
3,8,2,22,7,5,5,1,10,0,338,55.0,1
4,32,4,27,6,5,7,2,13,5,477,85.5,1
5,18,16,29,7,5,4,5,7,2,474,83.0,1
3,29,8,29,7,2,0,7,10,5,442,83.5,1
4,14,12,16,6,2,4,8,0,6,390,64.0,1
1,16,14,31,4,5,7,7,14,0,487,96.5,1
1,19,8,25,4,2,5,7,11,13,445,87.0,1
5,22,12,29,5,2,4,3,3,6,422,79.0,1
3,8,6,12,4,5,7,4,9,3,338,53.0,10
2,19,8,23,3,2,0,8,4,8,353,70.0,9
1,4,10,8,8,0,0,4,15,15,280,42.0,44
4,22,6,3,5,3,1,1,12,15,268,36.0,65
1,4,5,9,5,0,3,1,13,7,221,36.0,51
5,25,15,28,5,4,6,4,1,3,458,84.0,1
2,14,9,5,3,1,2,8,2,5,260,42.5,39
1,27,15,30,5,0,3,4,9,14,437,91.5,1
1,15,9,12,7,0,8,3,4,8,342,58.0,11
2,5,2,10,5,4,4,7,3,14,323,49.0,13
3,26,9,32,8,3,1,0,13,10,417,79.0,2
5,17,1,5,4,5,0,4,1,5,229,27.5,52
4,29,9,11,7,5,7,1,15,11,421,64.5,15
4,22,11,6,3,2,6,7,9,12,387,62.0,23
5,3,15,5,6,2,5,1,12,0,275,34.5,44
5,30,14,3,4,4,5,7,14,1,390,58.0,26
2,18,5,18,8,5,7,1,0,7,357,58.0,1
2,20,1,26,2,1,1,7,3,4,329,69.0,8
4,19,9,26,8,3,3,7,4,12,470,81.0,1
2,9,3,17,7,2,8,4,0,9,364,60.0,1
3,32,5,28,8,2,5,8,12,14,550,99.5,1
3,13,8,24,4,3,0,5,15,12,377,70.0,14
4,10,16,2,3,4,5,1,14,3,265,36.5,55
5,30,1,9,7,5,2,1,15,8,338,46.5,39
3,26,3,21,7,2,7,8,1,2,446,77.5,1
2,19,8,5,7,0,1,7,5,9,293,44.0,37
1,3,11,3,5,2,5,6,4,7,266,39.0,31
5,27,6,10,3,0,6,3,15,4,355,59.0,35
2,30,9,29,5,5,0,7,9,5,429,84.0,1
1,29,12,19,7,5,4,7,9,6,440,78.5,1
4,31,4,15,7,4,5,4,9,0,392,62.5,5
4,18,1,3,8,2,3,5,7,6,300,36.5,34
5,17,5,6,1,2,7,0,11,4,269,41.5,53
1,19,11,26,3,1,2,8,11,8,405,83.5,1
2,17,16,18,6,0,7,1,4,7,353,65.0,14
4,24,3,25,1,2,8,1,14,11,418,81.5,7
3,25,12,6,4,3,0,8,10,7,325,52.0,38
1,30,10,26,2,1,0,0,9,15,312,71.0,40
1,7,8,8,7,3,5,8,13,4,355,54.0,5
4,7,16,26,5,0,5,3,14,14,436,80.5,1
2,24,4,23,6,0,6,4,6,3,386,73.0,1
4,6,7,1,1,2,3,2,6,2,171,22.0,71
5,14,7,14,6,1,0,4,4,4,286,43.5,36
5,17,6,7,1,1,0,5,7,10,254,40.5,61
1,12,9,3,3,5,6,8,3,2,294,45.5,19
4,29,12,32,2,3,8,3,1,9,472,95.5,1
4,2,2,30,7,3,1,7,14,2,410,71.0,1
1,21,5,4,3,2,8,5,12,9,333,55.5,27
4,28,4,7,4,3,7,3,13,10,372,58.0,28
4,26,14,6,6,3,5,4,11,4,363,54.5,28
4,5,3,5,2,3,1,5,4,1,196,26.0,54
5,22,4,26,6,5,6,0,9,9,426,73.0,1
3,7,7,9,8,1,1,5,11,3,285,39.5,32
3,15,14,1,5,0,2,4,9,10,262,37.5,59
3,1,6,9,7,0,2,0,2,6,193,25.0,53
4,27,15,21,3,2,4,5,2,1,378,72.0,9
2,11,2,5,5,3,6,7,14,13,360,53.5,17
3,14,4,22,7,0,4,7,9,1,394,69.0,1
2,26,2,0,4,2,3,2,8,9,227,32.5,64
3,8,1,31,7,1,2,6,7,11,413,76.0,1
1,26,2,27,1,3,1,5,13,12,368,79.0,13
4,19,4,25,1,2,2,7,11,2,374,73.5,7
4,7,8,27,7,4,1,6,9,10,418,71.5,1
2,22,6,4,2,4,8,3,11,11,326,53.0,34
2,16,4,9,5,1,2,2,2,5,218,35.0,49
4,30,15,20,6,1,7,1,15,14,465,83.0,8
3,18,2,22,2,2,7,7,1,1,378,72.0,1
3,19,3,5,7,3,8,0,14,6,323,44.5,31
3,31,5,3,8,0,5,1,5,1,271,37.5,46
2,29,15,10,6,2,4,6,13,10,403,68.5,18
5,4,11,4,6,0,8,6,9,8,367,50.0,18
5,10,11,5,3,2,4,6,4,2,287,41.0,37
3,25,11,8,2,5,6,8,11,0,379,63.5,12
3,20,6,13,6,3,3,3,4,4,303,48.5,26
1,19,4,32,1,5,5,2,12,4,376,81.5,1
2,12,6,28,1,3,5,3,14,9,381,78.5,3
4,15,8,19,8,1,5,7,14,9,462,75.5,1
4,27,6,12,3,2,0,7,11,3,324,55.5,35
5,8,10,5,3,2,7,8,4,13,374,55.0,17
1,15,15,22,1,3,0,6,11,7,326,69.0,23
4,6,12,14,1,2,1,5,4,4,258,46.0,41
1,19,16,8,8,3,0,1,0,8,232,35.5,50
2,10,14,7,5,1,4,1,1,7,231,36.5,49
4,30,3,7,8,4,8,0,7,4,350,48.5,22
3,28,1,22,4,4,6,2,2,11,381,70.0,4
1,2,13,30,1,5,6,5,8,0,374,78.5,1
3,5,12,15,2,4,5,2,1,11,291,51.0,28
5,22,6,29,8,5,2,2,2,14,431,73.5,1
1,19,7,2,4,0,5,4,12,15,293,47.5,48
3,3,7,18,6,0,5,4,3,11,338,57.0,10
4,26,15,24,6,1,7,7,11,8,519,94.0,1
1,28,3,27,3,4,4,5,3,2,370,76.5,1
3,19,10,28,7,1,7,5,14,1,477,88.0,1
3,28,9,3,2,5,6,5,5,0,302,47.5,34
2,29,2,8,2,1,5,5,12,1,301,54.0,36
5,10,15,23,6,3,1,2,11,12,380,64.5,18
3,18,8,7,1,5,2,7,12,3,298,49.0,37
3,17,15,13,5,5,7,3,3,4,360,59.0,9
1,29,6,28,2,5,5,5,2,9,409,85.0,1
3,11,6,23,4,0,3,2,7,15,337,64.0,22
1,24,12,29,3,4,1,1,9,12,354,76.0,17
4,27,14,4,3,2,1,7,14,11,345,55.0,47
2,12,5,27,1,0,8,2,9,5,359,76.0,3
2,21,8,22,5,0,4,3,8,4,348,67.5,13
3,6,6,9,3,5,5,0,0,2,209,30.5,43
1,17,7,26,1,3,8,4,9,15,424,87.0,1
2,26,10,29,2,5,0,2,14,13,378,79.0,18
4,30,7,21,3,2,5,5,12,4,419,78.0,5
3,7,11,15,8,0,4,7,7,4,370,59.0,2
1,4,10,24,7,1,2,5,10,6,350,65.0,1
2,32,15,31,5,3,0,1,12,14,411,85.0,13
2,14,12,3,1,2,7,7,9,0,298,50.0,31
1,28,5,16,6,3,5,0,12,1,315,57.0,24
5,13,12,18,2,3,8,7,8,3,431,75.0,1
2,7,13,23,6,4,5,2,6,12,377,67.5,1
5,3,2,2,3,5,5,7,14,4,312,38.5,29
5,9,11,20,3,3,4,5,15,9,406,70.0,9
4,2,12,21,2,3,4,0,15,8,318,58.0,30
5,15,2,30,3,4,6,2,7,1,394,73.5,1
5,8,7,1,8,2,6,2,13,6,310,34.5,38
4,31,2,8,4,4,5,7,12,10,404,63.5,16
2,30,11,22,5,4,7,3,7,8,433,81.0,1
5,20,8,19,5,5,3,7,10,15,456,75.0,1
3,18,10,7,7,3,5,2,9,1,303,43.5,31
3,6,12,28,5,5,7,3,6,8,428,78.0,1
5,18,5,6,4,1,0,8,7,7,300,43.5,42
1,7,14,21,8,0,2,0,5,13,299,55.0,26
4,31,7,18,6,2,0,1,7,1,298,52.0,38
2,27,6,2,7,3,2,4,1,0,239,32.0,45
3,7,11,18,8,5,8,8,15,4,489,77.5,1
5,30,9,12,2,2,2,7,8,5,359,62.0,30
1,22,10,12,3,4,6,6,10,2,354,64.0,11
